retailer,observed_at,product_url,product_name,price_raw,brand_raw,origin_raw,category_raw,parent_category_raw,unit_raw,sold_count_raw,last_week_sold_raw
WEEE,2026-08-31,https://www.weee.com/en/product/Drinkable-Raw-Soy-Milk-Seoritae-99-3/3073055?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-3073055&checkZip=true,Drinkable Raw Soy Milk Seoritae 99.3 500 g,"$
29
99
$1.70/oz",,South Korea,Tea,Beverages,500 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Drinking-Soybean-Milk-Jeju-Matcha/3073056?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-3073056&checkZip=true,Drinking Soybean Milk Jeju Matcha 500 g,"$
29
99
$1.70/oz",,South Korea,Tea,Beverages,500 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Enoki-Mushrooms/38441?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-38441&checkZip=true,Enoki Mushrooms 200 g,$288$3.49,,"South Korea, Mainland China",Mushrooms,Vegetables,200 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Frozen-Asia-White-Clam-Frozen-1/62570?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-62570&checkZip=true,"Frozen Asia White Clam, Frozen 2 lb","$
6
99
$0.22/oz",,Vietnam,Shellfish,Seafood,2 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Green-Onion/58583?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-58583&checkZip=true,Green Onion 1 bunch,"$
0
89",,United States,Herbs,Vegetables,1 bunch,,
WEEE,2026-08-31,https://www.weee.com/en/product/Haitai-Daipoong-Korean-Premium-Medium-Rice/106076?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-106076&checkZip=true,Haitai Daipoong Korean Premium Medium Rice 15 lb,"$
11
99
$12.99",Shop more from Haitai,United States,Rice,Dry Goods,15 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Hansang-Sliced-Rice-Cake-For-Tteokbokki/20800?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-20800&checkZip=true,Hansang Sliced Rice Cake For Tteokbokki 2.2 lb,"$
4
99
$0.14/oz",Shop more from Hansang,South Korea,Noodles \u0026 Wraps,Tofu \u0026 Vegan,2.2 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Hapi-Japanese-Pudding-Frozen-3pc/95700?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-95700&checkZip=true,Hapi Japanese Pudding Frozen 3pc 240 g,"$
2
99
$0.35/oz",Shop more from Hapi,Japan,Bread \u0026 Desserts,Frozen,240 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Honey-Tangerine/34583?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-34583&checkZip=true,Honey Tangerine 3 lb,"$
5
99
$2.00/lb",,Mexico,Citrus,Fruits,3 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Honey-Tangerines/45759?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-45759&checkZip=true,Honey Tangerines 2.9-3.1 lb,"$
5
99
$2.00/lb",,United States,Citrus,Fruits,2.9-3.1 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Imuraya-Monaka-Ice-Cream-Sandwich-Chocolate-Flavor/32961?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-32961&checkZip=true,Imuraya Monaka Ice Cream Sandwich Chocolate Flavor 5.07 oz,$299/ea for 3 or more$3.49/ea,,Japan,Ice Cream,Frozen,5.07 oz,,
WEEE,2026-08-31,https://www.weee.com/en/product/Jelly-B-Drinkable-Konjac-Jelly-Lychee-Flavor/65677?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-65677&checkZip=true,"Jelly.B Drinkable Konjac Jelly, Lychee Flavor 150 ml*10 pack","$
13
99
$0.28/fl.oz",Shop more from Jelly. B,South Korea,Fruit Drinks,Beverages,150 ml,,
WEEE,2026-08-31,https://www.weee.com/en/product/Jongga-Mat-Kimchi/103717?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-103717&checkZip=true,Jongga Mat Kimchi 1200 g,"$
12
99
$0.31/oz",Shop more from Jongga,United States,Kimchi,Tofu \u0026 Vegan,1200 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Jongga-Sliced-Cabbage-Kimchi/97006?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-97006&checkZip=true,Jongga Sliced Cabbage Kimchi 400 g,"$
4
68
$5.79",Shop more from Jongga,South Korea,Kimchi,Tofu \u0026 Vegan,400 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/La-Conviette-Premium-Butter-Salted-X-10-rolls/113203?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-113203&checkZip=true,"La Conviette Premium Butter Salted X 10 rolls, Frozen 150 g","$
11
99",Shop more from La Conviette​,France,Butter,Dairy \u0026 Eggs,150 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Lee-Kum-Kee-Dark-Roast-100-Premium-Sesame-Oil-Product-of-Japan-55-7-fl-oz/114427?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-114427&checkZip=true,Lee Kum Kee Dark Roast 100% Premium Sesame Oil Product of Japan 55.7 fl.oz 55.7 fl.oz,"$
23
99
$0.43/fl.oz",Shop more from Lee Kum Kee,Japan,Dipping Sauces,Seasoning,55.7 fl.oz,,
WEEE,2026-08-31,https://www.weee.com/en/product/Lotte-Chefood-Samgak-Kimbap-Kimchi-Tuna-110g-X-3pcs-Frozen-1/114413?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-114413&checkZip=true,"Lotte Chefood Samgak Kimbap Kimchi Tuna 110g X 3pcs, Frozen 330 g","$
12
99
$1.12/oz",Shop more from Lotte,South Korea,Meals \u0026 Entrees,Frozen,330 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Lotte-Chefood-Samgak-Kimbap-Soy-Egg-110g-X-3pcs-Frozen-1/114412?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-114412&checkZip=true,"Lotte Chefood Samgak Kimbap Soy Egg 110g X 3pcs, Frozen 330 g","$
12
99
$1.12/oz",Shop more from Lotte,South Korea,Meals \u0026 Entrees,Frozen,330 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Lotte-Choco-Pie-Cacao-12ct/27819?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-27819&checkZip=true,Lotte Choco Pie Cacao 12ct 336 g,"$
6
79
$0.57/oz",Shop more from Lotte,South Korea,Crackers \u0026 Cookies,Snacks,336 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Magnolia-Cooked-Pork-Sisig--Stir-Fried-Pork---Frozen-1/100526?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-100526&checkZip=true,"Magnolia Cooked Pork Sisig (Stir-Fried Pork), Frozen 10 oz","$
11
99
$1.20/oz",Shop more from Magnolia,United States,Meals \u0026 Entrees,Frozen,10 oz,,
WEEE,2026-08-31,https://www.weee.com/en/product/Nature-s-Soy-Silken-Tofu/19237?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-19237&checkZip=true,Nature's Soy Silken Tofu 17 oz,"$
1
99
/ea for 2 or more
$2.49/ea",Shop more from Nature's Soy,United States,Tofu,Tofu \u0026 Vegan,17 oz,,
